value,data_id,by_variable_id,precision,characteristic_order,indicator_order,indicator,indicator_type,characteristic_category,denominator_unweighted,is_preferred
58.1,15523,14002,1,0,83606020,Assistance during delivery: Nurse/midwife,I,Total,2113,1
1.4,508218,14000,1,0,83606060,Assistance during delivery: Traditional birth attendant,I,Total,3119,0
1.4,413498,14001,1,0,83606060,Assistance during delivery: Traditional birth attendant,I,Total,5066,0
1.2,15527,14002,1,0,83606060,Assistance during delivery: Traditional birth attendant,I,Total,2113,1
9.9,508214,14000,1,0,83606070,Assistance during delivery: Relative or other,I,Total,3119,0
10.5,413490,14001,1,0,83606070,Assistance during delivery: Relative or other,I,Total,5066,0
9.7,15524,14002,1,0,83606070,Assistance during delivery: Relative or other,I,Total,2113,1
2.1,508219,14000,1,0,83606080,Assistance during delivery: No one,I,Total,3119,0
2.1,413499,14001,1,0,83606080,Assistance during delivery: No one,I,Total,5066,0
1.8,15528,14002,1,0,83606080,Assistance during delivery: No one,I,Total,2113,1
1.2,508215,14000,1,0,83606090,Assistance during delivery: don't know or missing,S,Total,3119,0
1.7,413491,14001,1,0,83606090,Assistance during delivery: don't know or missing,S,Total,5066,0
0.9,15525,14002,1,0,83606090,Assistance during delivery: don't know or missing,S,Total,2113,1
100,508220,14000,1,0,83606100,Assistance during delivery: Total,T,Total,3119,0
100,413493,14001,1,0,83606100,Assistance during delivery: Total,T,Total,5066,0
100,15520,14002,1,0,83606100,Assistance during delivery: Total,T,Total,2113,1
85.5,508221,14000,1,0,83606110,Assistance during delivery from a skilled provider,I,Total,3119,0
84.4,413494,14001,1,0,83606110,Assistance during delivery from a skilled provider,I,Total,5066,0
86.4,15521,14002,1,0,83606110,Assistance during delivery from a skilled provider,I,Total,2113,1
15.4,508222,14000,1,0,83606120,Delivery by cesarean section,I,Total,3119,0
15.5,413495,14001,1,0,83606120,Delivery by cesarean section,I,Total,5066,0
15.1,15522,14002,1,0,83606120,Delivery by cesarean section,I,Total,2113,1
3072,521104,14000,0,0,83606130,Number of live births (or stillbirths) in the last two (or three/five) years,D,Total,3119,0
4992,387443,14001,0,0,83606130,Number of live births (or stillbirths) in the last two (or three/five) years,D,Total,5066,0
2081,15519,14002,0,0,83606130,Number of live births (or stillbirths) in the last two (or three/five) years,D,Total,2113,1
3119,395187,14000,0,0,83606140,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),U,Total,2041,0
4992,25921,14001,0,0,83606140,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),U,Total,2041,0
2113,205906,14002,0,0,83606140,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),U,Total,2041,1
21.9,598577,14000,1,0,93966010,Children with symptoms of ARI,I,Total,2958,0
19.3,397915,14001,1,0,93966010,Children with symptoms of ARI,I,Total,4797,1
2912,598578,14000,0,0,93966020,Number of children born in the last five (or three) years,D,Total,2958,0
4740,384931,14001,0,0,93966020,Number of children born in the last five (or three) years,D,Total,4797,1
2958,139860,14000,0,0,93966030,Number of children born in the last five (or three) years (unweighted),U,Total,2041,0
4797,26068,14001,0,0,93966030,Number of children born in the last five (or three) years (unweighted),U,Total,2041,1
81.9,450750,14000,1,0,93966040,Children with ARI for whom advice or treatment was sought,I,Total,607,0
78.2,665172,14001,1,0,93966040,Children with ARI for whom advice or treatment was sought,I,Total,862,1
637,457030,14000,0,0,93966060,Number of children with symptoms of ARI born in the last five (or three) years,D,Total,607,0
913,658945,14001,0,0,93966060,Number of children with symptoms of ARI born in the last five (or three) years,D,Total,862,1
607,320333,14000,0,0,93966070,Number of children with symptoms of ARI born in the last five (or three) years (unweighted),U,Total,2041,0
862,32724,14001,0,0,93966070,Number of children with symptoms of ARI born in the last five (or three) years (unweighted),U,Total,2041,1
62.1,15037,14000,1,0,94096010,Treatment of diarrhea: Advice or treatment was sought,I,Total,523,0
60.6,607611,14001,1,0,94096010,Treatment of diarrhea: Advice or treatment was sought,I,Total,634,1
52.7,15031,14000,1,0,94096020,Treatment of diarrhea: Oral rehydration solution (ORS),I,Total,523,0
51.2,607606,14001,1,0,94096020,Treatment of diarrhea: Oral rehydration solution (ORS),I,Total,634,1
70.6,15032,14000,1,0,94096030,Treatment of diarrhea: Recommended home fluids (RHF) at home,I,Total,523,0
68.6,607607,14001,1,0,94096030,Treatment of diarrhea: Recommended home fluids (RHF) at home,I,Total,634,1
83.1,15033,14000,1,0,94096040,Treatment of diarrhea: Either ORS or RHF,I,Total,523,0
81,607608,14001,1,0,94096040,Treatment of diarrhea: Either ORS or RHF,I,Total,634,1
56.6,15034,14000,1,0,94096050,Treatment of diarrhea: Increased fluids,I,Total,523,0
57.1,607609,14001,1,0,94096050,Treatment of diarrhea: Increased fluids,I,Total,634,1
90.2,15035,14000,1,0,94096060,Treatment of diarrhea: ORT or increased fluids,I,Total,523,0
89.1,607610,14001,1,0,94096060,Treatment of diarrhea: ORT or increased fluids,I,Total,634,1
9.8,15036,14000,1,0,94096070,"Treatment of diarrhea: No ORS, RHF or increased fluids",I,Total,523,0
10.9,607614,14001,1,0,94096070,"Treatment of diarrhea: No ORS, RHF or increased fluids",I,Total,634,1
0.5,15039,14000,1,0,94096110,Treatment of diarrhea: Intravenous solution,I,Total,523,0
0.4,607615,14001,1,0,94096110,Treatment of diarrhea: Intravenous solution,I,Total,634,1
87.6,15040,14000,1,0,94096130,Treatment of diarrhea: Home remedy - other,I,Total,523,0
86.3,607617,14001,1,0,94096130,Treatment of diarrhea: Home remedy - other,I,Total,634,1
0.6,15041,14000,1,0,94096140,Treatment of diarrhea: No treatment,I,Total,523,0
0.5,607618,14001,1,0,94096140,Treatment of diarrhea: No treatment,I,Total,634,1
0.9,15038,14000,1,0,94096150,Treatment of diarrhea: don't know or missing,S,Total,523,0
1.7,607612,14001,1,0,94096150,Treatment of diarrhea: don't know or missing,S,Total,634,1
508,16468,14000,0,0,94096160,Number of children born in the last five (or three) years,D,Total,523,0
627,604853,14001,0,0,94096160,Number of children born in the last five (or three) years,D,Total,634,1
523,280214,14000,0,0,94096170,Number of children born in the last five (or three) years (unweighted),U,Total,2041,0
634,27506,14001,0,0,94096170,Number of children born in the last five (or three) years (unweighted),U,Total,2041,1
17.1,157227,14000,1,0,83363010,Antenatal care provider: Doctor,I,Total,1977,0
17.1,653702,14001,1,0,83363010,Antenatal care provider: Doctor,I,Total,3036,0
16.1,157234,14002,1,0,83363010,Antenatal care provider: Doctor,I,Total,1376,1
76.8,157230,14000,1,0,83363020,Antenatal care provider: Nurse/midwife,I,Total,1977,0
76.6,653707,14001,1,0,83363020,Antenatal care provider: Nurse/midwife,I,Total,3036,0
77,157238,14002,1,0,83363020,Antenatal care provider: Nurse/midwife,I,Total,1376,1
0.6,157228,14000,1,0,83363080,Antenatal care provider: Other,I,Total,1977,0
0.6,653704,14001,1,0,83363080,Antenatal care provider: Other,I,Total,3036,0
0.5,157235,14002,1,0,83363080,Antenatal care provider: Other,I,Total,1376,1
5.5,157229,14000,1,0,83363100,No antenatal care,I,Total,1977,0
5.7,653705,14001,1,0,83363100,No antenatal care,I,Total,3036,0
6.5,157236,14002,1,0,83363100,No antenatal care,I,Total,1376,1
100,157232,14000,1,0,83363110,Antenatal care: Total,T,Total,1977,0
100,653708,14001,1,0,83363110,Antenatal care: Total,T,Total,3036,0
100,157239,14002,1,0,83363110,Antenatal care: Total,T,Total,1376,1
93.9,157226,14000,1,0,83363120,Antenatal care from a skilled provider,I,Total,1977,0
93.7,653706,14001,1,0,83363120,Antenatal care from a skilled provider,I,Total,3036,0
93.1,157233,14002,1,0,83363120,Antenatal care from a skilled provider,I,Total,1376,1
1962,157244,14000,0,0,83363130,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,D,Total,1977,0
3036,657480,14001,0,0,83363130,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,D,Total,3036,0
1386,157237,14002,0,0,83363130,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,D,Total,1376,1
1977,157240,14000,0,0,83363140,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),U,Total,2041,0
3036,339335,14001,0,0,83363140,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),U,Total,2041,0
1376,157242,14002,0,0,83363140,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),U,Total,2041,1
88.3,157346,14000,1,0,83566010,Place of delivery: Public sector,I,Total,2105,0
87.4,157314,14001,1,0,83566010,Place of delivery: Public sector,I,Total,3548,0
88.4,463685,14002,1,0,83566010,Place of delivery: Public sector,I,Total,1406,1
7.7,157339,14000,1,0,83566020,Place of delivery: Private sector,I,Total,2105,0
8.5,157315,14001,1,0,83566020,Place of delivery: Private sector,I,Total,3548,0
7.7,463682,14002,1,0,83566020,Place of delivery: Private sector,I,Total,1406,1
3.6,157340,14000,1,0,83566030,Place of delivery: At home,I,Total,2105,0
3.7,157316,14001,1,0,83566030,Place of delivery: At home,I,Total,3548,0
3.4,463683,14002,1,0,83566030,Place of delivery: At home,I,Total,1406,1
0.3,157341,14000,1,0,83566040,Place of delivery: Other,I,Total,2105,0
0.4,157317,14001,1,0,83566040,Place of delivery: Other,I,Total,3548,0
0.5,463684,14002,1,0,83566040,Place of delivery: Other,I,Total,1406,1
100,157347,14000,1,0,83566060,Place of delivery: Total,T,Total,2105,0
100,157337,14001,1,0,83566060,Place of delivery: Total,T,Total,3548,0
100,463686,14002,1,0,83566060,Place of delivery: Total,T,Total,1406,1
96,157345,14000,1,0,83566070,Place of delivery: Health facility,I,Total,2105,0
95.9,157336,14001,1,0,83566070,Place of delivery: Health facility,I,Total,3548,0
96.1,463689,14002,1,0,83566070,Place of delivery: Health facility,I,Total,1406,1
2091,157342,14000,0,0,83566080,Number of live births (or stillbirths) in the last two (or three/five) years,D,Total,2105,0
3572,157343,14001,0,0,83566080,Number of live births (or stillbirths) in the last two (or three/five) years,D,Total,3548,0
1414,473017,14002,0,0,83566080,Number of live births (or stillbirths) in the last two (or three/five) years,D,Total,1406,1
2105,157380,14000,0,0,83566090,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),U,Total,2041,0
3548,157373,14001,0,0,83566090,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),U,Total,2041,0
1406,345160,14002,0,0,83566090,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),U,Total,2041,1
29.1,663099,14000,1,0,83606010,Assistance during delivery: Doctor,I,Total,2105,0
28.7,373334,14001,1,0,83606010,Assistance during delivery: Doctor,I,Total,3548,0
29.5,473060,14002,1,0,83606010,Assistance during delivery: Doctor,I,Total,1406,1
67.6,663098,14000,1,0,83606020,Assistance during delivery: Nurse/midwife,I,Total,2105,0
68,373337,14001,1,0,83606020,Assistance during delivery: Nurse/midwife,I,Total,3548,0
67.6,473024,14002,1,0,83606020,Assistance during delivery: Nurse/midwife,I,Total,1406,1
0.2,663100,14000,1,0,83606060,Assistance during delivery: Traditional birth attendant,I,Total,2105,0
0.1,373335,14001,1,0,83606060,Assistance during delivery: Traditional birth attendant,I,Total,3548,0
0.2,473061,14002,1,0,83606060,Assistance during delivery: Traditional birth attendant,I,Total,1406,1
1.6,663097,14000,1,0,83606070,Assistance during delivery: Relative or other,I,Total,2105,0
1.9,373332,14001,1,0,83606070,Assistance during delivery: Relative or other,I,Total,3548,0
1.8,473025,14002,1,0,83606070,Assistance during delivery: Relative or other,I,Total,1406,1
1.5,663103,14000,1,0,83606080,Assistance during delivery: No one,I,Total,2105,0
1.2,373336,14001,1,0,83606080,Assistance during delivery: No one,I,Total,3548,0
0.9,473062,14002,1,0,83606080,Assistance during delivery: No one,I,Total,1406,1
100,663102,14000,1,0,83606100,Assistance during delivery: Total,T,Total,2105,0
100,373328,14001,1,0,83606100,Assistance during delivery: Total,T,Total,3548,0
100,473019,14002,1,0,83606100,Assistance during delivery: Total,T,Total,1406,1
96.7,663104,14000,1,0,83606110,Assistance during delivery from a skilled provider,I,Total,2105,0
96.7,373329,14001,1,0,83606110,Assistance during delivery from a skilled provider,I,Total,3548,0
97.1,473020,14002,1,0,83606110,Assistance during delivery from a skilled provider,I,Total,1406,1
24.9,663105,14000,1,0,83606120,Delivery by cesarean section,I,Total,2105,0
24.2,373330,14001,1,0,83606120,Delivery by cesarean section,I,Total,3548,0
25.3,473021,14002,1,0,83606120,Delivery by cesarean section,I,Total,1406,1
2091,664010,14000,0,0,83606130,Number of live births (or stillbirths) in the last two (or three/five) years,D,Total,2105,0
3572,157381,14001,0,0,83606130,Number of live births (or stillbirths) in the last two (or three/five) years,D,Total,3548,0
1414,473018,14002,0,0,83606130,Number of live births (or stillbirths) in the last two (or three/five) years,D,Total,1406,1
2105,298971,14000,0,0,83606140,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),U,Total,2041,0
3548,373326,14001,0,0,83606140,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),U,Total,2041,0
1406,157399,14002,0,0,83606140,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),U,Total,2041,1
83.2,157405,0,1,0,83663010,Provider of mothers' first postnatal checkup: Doctor/nurse/midwife,I,Total,1376,1
0.2,157406,0,1,0,83663030,Provider of mothers' first postnatal checkup: Community health worker,I,Total,1376,1
0.2,157407,0,1,0,83663050,Provider of mothers' first postnatal checkup: Traditional birth attendant,I,Total,1376,1
16.4,157408,0,1,0,83663070,No postnatal checkup for mother within first two days of birth,I,Total,1376,1
100,157409,0,1,0,83663080,Provider of mothers' first postnatal checkup: Total,T,Total,1376,1
1386,157417,0,0,0,83663090,Number of mothers,D,Total,1376,1
1376,157415,0,0,0,83663100,Number of mothers (unweighted),U,Total,2041,1
86.2,157410,0,1,0,83736010,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,I,Total,1376,1
0.1,157411,0,1,0,83736030,Provider of newborns' first postnatal checkup: Community health worker,I,Total,1376,1
13.8,157418,0,1,0,83736070,No postnatal checkup for newborn within first two days of birth,I,Total,1376,1
100,157419,0,1,0,83736080,Provider of newborns' first postnatal checkup: Total,T,Total,1376,1
1386,157434,0,0,0,83736090,Number of newborns,D,Total,1376,1
1376,157480,0,0,0,83736100,Number of newborns (unweighted),U,Total,2041,1
3.4,550039,14000,1,0,93966010,Children with symptoms of ARI,I,Total,2026,0
3.1,520801,14001,1,0,93966010,Children with symptoms of ARI,I,Total,3413,1
2025,550040,14000,0,0,93966020,Number of children born in the last five (or three) years,D,Total,2026,0
3444,528550,14001,0,0,93966020,Number of children born in the last five (or three) years,D,Total,3413,1
2026,149150,14000,0,0,93966030,Number of children born in the last five (or three) years (unweighted),U,Total,2041,0
3413,439924,14001,0,0,93966030,Number of children born in the last five (or three) years (unweighted),U,Total,2041,1
96.9,628408,14000,1,0,93966040,Children with ARI for whom advice or treatment was sought,I,Total,73,0
87.6,701545,14001,1,0,93966040,Children with ARI for whom advice or treatment was sought,I,Total,94,1
46.7,628407,14000,1,0,93966050,Children with symptoms of ARI who received antibiotics,I,Total,73,0
42,701543,14001,1,0,93966050,Children with symptoms of ARI who received antibiotics,I,Total,94,1
68,630188,14000,0,0,93966060,Number of children with symptoms of ARI born in the last five (or three) years,D,Total,73,0
107,701544,14001,0,0,93966060,Number of children with symptoms of ARI born in the last five (or three) years,D,Total,94,1
59,300159,14000,0,0,93966070,Number of children with symptoms of ARI born in the last five (or three) years (unweighted),U,Total,2041,0
94,149151,14001,0,0,93966070,Number of children with symptoms of ARI born in the last five (or three) years (unweighted),U,Total,2041,1
66.8,149154,14000,1,0,94036010,Children with fever for whom advice or treatment was sought,I,Total,410,0
68.4,653434,14001,1,0,94036010,Children with fever for whom advice or treatment was sought,I,Total,647,1
0.2,149153,14000,1,0,94036020,Child took antimalarial drugs for fever,I,Total,410,0
0.5,653431,14001,1,0,94036020,Child took antimalarial drugs for fever,I,Total,647,1
29.2,149156,14000,1,0,94036030,Child took antibiotic drugs for fever,I,Total,410,0
30.3,653433,14001,1,0,94036030,Child took antibiotic drugs for fever,I,Total,647,1
422,149157,14000,0,0,94036040,Number of children with fever in the last two weeks,D,Total,410,0
679,657740,14001,0,0,94036040,Number of children with fever in the last two weeks,D,Total,647,1
410,149158,14000,0,0,94036050,Number of children with fever in the last two weeks (unweighted),U,Total,2041,0
647,339925,14001,0,0,94036050,Number of children with fever in the last two weeks (unweighted),U,Total,2041,1
59.2,707848,14000,1,0,94096010,Treatment of diarrhea: Advice or treatment was sought,I,Total,256,0
63,545833,14001,1,0,94096010,Treatment of diarrhea: Advice or treatment was sought,I,Total,350,1
46.5,707849,14000,1,0,94096020,Treatment of diarrhea: Oral rehydration solution (ORS),I,Total,256,0
51.4,545832,14001,1,0,94096020,Treatment of diarrhea: Oral rehydration solution (ORS),I,Total,350,1
67.2,707850,14000,1,0,94096030,Treatment of diarrhea: Recommended home fluids (RHF) at home,I,Total,256,0
72.5,545838,14001,1,0,94096030,Treatment of diarrhea: Recommended home fluids (RHF) at home,I,Total,350,1
75.4,707851,14000,1,0,94096040,Treatment of diarrhea: Either ORS or RHF,I,Total,256,0
80.5,545839,14001,1,0,94096040,Treatment of diarrhea: Either ORS or RHF,I,Total,350,1
33.7,707857,14000,1,0,94096044,Treatment of diarrhea: Zinc supplements,I,Total,256,0
36.8,545835,14001,1,0,94096044,Treatment of diarrhea: Zinc supplements,I,Total,350,1
14.6,707854,14000,1,0,94096050,Treatment of diarrhea: Increased fluids,I,Total,256,0
15,545844,14001,1,0,94096050,Treatment of diarrhea: Increased fluids,I,Total,350,1
79.2,707855,14000,1,0,94096060,Treatment of diarrhea: ORT or increased fluids,I,Total,256,0
83.3,545845,14001,1,0,94096060,Treatment of diarrhea: ORT or increased fluids,I,Total,350,1
20.8,707846,14000,1,0,94096070,"Treatment of diarrhea: No ORS, RHF or increased fluids",I,Total,256,0
16.7,545847,14001,1,0,94096070,"Treatment of diarrhea: No ORS, RHF or increased fluids",I,Total,350,1
7.2,707856,14000,1,0,94096080,Treatment of diarrhea: Antibiotics,I,Total,256,0
10.6,545834,14001,1,0,94096080,Treatment of diarrhea: Antibiotics,I,Total,350,1
2.4,707847,14000,1,0,94096090,Treatment of diarrhea: Antimotility drugs,I,Total,256,0
1.8,545848,14001,1,0,94096090,Treatment of diarrhea: Antimotility drugs,I,Total,350,1
0.2,707853,14000,1,0,94096110,Treatment of diarrhea: Intravenous solution,I,Total,256,0
0.6,545836,14001,1,0,94096110,Treatment of diarrhea: Intravenous solution,I,Total,350,1
0.5,707858,14000,1,0,94096120,Treatment of diarrhea: Injection,I,Total,256,0
1.1,545837,14001,1,0,94096120,Treatment of diarrhea: Injection,I,Total,350,1
9.1,707859,14000,1,0,94096130,Treatment of diarrhea: Home remedy - other,I,Total,256,0
10.3,545840,14001,1,0,94096130,Treatment of diarrhea: Home remedy - other,I,Total,350,1
16.2,707860,14000,1,0,94096140,Treatment of diarrhea: No treatment,I,Total,256,0
12.1,545843,14001,1,0,94096140,Treatment of diarrhea: No treatment,I,Total,350,1
246,708945,14000,0,0,94096160,Number of children born in the last five (or three) years,D,Total,256,0
356,553597,14001,0,0,94096160,Number of children born in the last five (or three) years,D,Total,350,1
256,309448,14000,0,0,94096170,Number of children born in the last five (or three) years (unweighted),U,Total,2041,0
350,377936,14001,0,0,94096170,Number of children born in the last five (or three) years (unweighted),U,Total,2041,1
