value,data_id,by_variable_id,precision,characteristic_order,indicator_order,indicator,indicator_type,characteristic_category,denominator_unweighted,is_preferred
4.5,625365,0,1,10000,135433010,Higher-risk Sex (with multiple partners among all respondents) [Women],I,Total 15-49,8514,1
8514,629905,0,0,10000,135433020,Number of women,D,Total 15-49,8514,1
8514,292734,0,0,10000,135433030,Number of women (unweighted),U,Total 15-49,1995,1
57.6,10145.689999999999,0,1,10000,135433040,Condom use during higher-risk sex (with multiple partners) [Women],I,Total 15-49,394,1
387,17990,0,0,10000,135433050,Number of women,D,Total 15-49,394,1
394,389803,0,0,10000,135433060,Number of women (unweighted),U,Total 15-49,1995,1
3.9,636646,0,1,10000,135433070,Mean number of sexual partners in lifetime [Women],I,Total 15-49,7182,1
7205,10145.689999999999,0,0,10000,135433080,Number of women who ever had sexual intercourse,D,Total 15-49,7182,1
7182,420759,0,0,10000,135433090,Number of women who ever had sexual intercourse (unweighted),U,Total 15-49,1995,1
17,561946,0,1,10000,135434100,Higher-risk Sex (with multiple partners among all respondents) [Men],I,Total 15-49,3179,1
3202,569669,0,0,10000,135434110,Number of men,D,Total 15-49,3179,1
3179,359288,0,0,10000,135434120,Number of men (unweighted),U,Total 15-49,1995,1
65.3,751379,0,1,10000,135434130,Condom use during higher-risk sex (with multiple partners) [Men],I,Total 15-49,535,1
544,753925,0,0,10000,135434140,Number of men,D,Total 15-49,535,1
535,382523,0,0,10000,135434150,Number of men (unweighted),U,Total 15-49,1995,1
14.7,570709,0,1,10000,135434160,Mean number of sexual partners in lifetime [Men],I,Total 15-49,2467,1
2488,572743,0,0,10000,135434170,Number of men who ever had sexual intercourse,D,Total 15-49,2467,1
2467,280632,0,0,10000,135434180,Number of men who ever had sexual intercourse (unweighted),U,Total 15-49,1995,1
1.738,253258,0,1,10000,135503010,Point prevalence of concurrent sexual partners [Women],I,Total 15-49,8514,1
3.1,253259,0,1,10000,135503020,Cumulative prevalence of concurrent sexual partners [Women],I,Total 15-49,8514,1
8514,253256,0,0,10000,135503030,Number of women,D,Total 15-49,8514,1
8514,253273,0,0,10000,135503040,Number of women (unweighted),U,Total 15-49,1995,1
68.1,440517,0,1,10000,135503050,Had concurrent sexual partners [Women],I,Total 15-49,394,1
387,253265,0,0,10000,135503060,Number of women with multiple partners in the 12 months preceding the survey,D,Total 15-49,394,1
394,440507,0,0,10000,135503070,Number of women with multiple partners in the 12 months preceding the survey (unweighted),U,Total 15-49,1995,1
4.7,318090,0,1,10000,135504080,Point prevalence of concurrent sexual partners [Men],I,Total 15-49,3179,1
12.1,318091,0,1,10000,135504090,Cumulative prevalence of concurrent sexual partners [Men],I,Total 15-49,3179,1
3202,253266,0,0,10000,135504100,Number of men,D,Total 15-49,3179,1
3179,318093,0,0,10000,135504110,Number of men (unweighted),U,Total 15-49,1995,1
71,45811,0,1,10000,135504120,Had concurrent sexual partners [Men],I,Total 15-49,544,1
544,43054,0,0,10000,135504130,Number of men with multiple partners in the 12 months preceding the survey,D,Total 15-49,544,1
535,434780,0,0,10000,135504140,Number of men with multiple partners in the 12 months preceding the survey (unweighted),U,Total 15-49,1995,1
4.7,253277,0,1,10000,135534010,Ever paid for sexual intercourse,I,Total 15-49,3179,1
2.9,253274,0,1,10000,135534020,Paid for sexual intercourse in the past 12 months,I,Total 15-49,3179,1
3202,253275,0,0,10000,135534030,Number of men,D,Total 15-49,3179,1
3179,253276,0,0,10000,135534040,Number of men (unweighted),U,Total 15-49,1995,1
83.1,24092,0,1,10000,135534050,Condom use at last paid sexual intercourse,I,Total 15-49,86,1
92,33305,0,0,10000,135534060,Number of men who paid for sex in the last 12 months,D,Total 15-49,86,1
86,432953,0,0,10000,135534070,Number of men who paid for sex in the last 12 months (unweighted),U,Total 15-49,1995,1
6.1,17331,0,1,0,135763010,Sex before the age of 15 [Women],I,Total,2913,1
2842,17332,0,0,0,135763020,Number of young women,D,Total,2913,1
2913,393814,0,0,0,135763030,Number of young women (unweighted),U,Total,1995,1
50.3,253307,0,1,0,135763040,Sex before the age of 18 [Women],I,Total,1995,1
1984,253306,0,0,0,135763050,Number of young women age 18-24,D,Total,1995,1
1995,407073,0,0,0,135763060,Number of young women age 18-24 (unweighted),U,Total,1995,1
14.6,519771,0,1,0,135764070,Sex before the age of 15 [Men],I,Total,1307,1
1235,526205,0,0,0,135764080,Number of young men,D,Total,1307,1
1307,253304,0,0,0,135764090,Number of young men (unweighted),U,Total,1995,1
66.2,253301,0,1,0,135764100,Sex before the age of 18 [Men],I,Total,888,1
848,253310,0,0,0,135764110,Number of young men age 18-24,D,Total,888,1
888,253300,0,0,0,135764120,Number of young men age 18-24 (unweighted),U,Total,1995,1
37.4,452375,0,1,0,135803010,Young women never having sexual intercourse,I,Total,2621,1
57.1,452374,0,1,0,135803020,Young women having premarital sex in last year,I,Total,2621,1
2508,454888,0,0,0,135803030,Number of never-married young women,D,Total,2621,1
2621,287452,0,0,0,135803040,Number of never-married young women (unweighted),U,Total,1995,1
62.7,358671,0,1,0,135803050,Young women using a condom during premarital sex,I,Total,1471,1
1431,253312,0,0,0,135803060,Number of never-married young women who had sex in the past year,D,Total,1471,1
1471,358669,0,0,0,135803070,Number of never-married young women who had sex in the past year (unweighted),U,Total,1995,1
30.7,253309,0,1,0,135804080,Young men never having sexual intercourse,I,Total,1268,1
62.5,253305,0,1,0,135804090,Young men having premarital sex in last year,I,Total,1268,1
1191,253308,0,0,0,135804100,Number of never-married men,D,Total,1268,1
1268,253311,0,0,0,135804110,Number of never-married men (unweighted),U,Total,1995,1
75.9,253313,0,1,0,135804120,Young men using a condom during premarital sex,I,Total,783,1
744,253315,0,0,0,135804130,Number of men,D,Total,783,1
783,253302,0,0,0,135804140,Number of men (unweighted),U,Total,1995,1
4.6,518745,0,1,0,135833010,Young women having multiple partners in last year,I,Total,2913,1
2842,518740,0,0,0,135833020,Number of young women,D,Total,2913,1
2913,253324,0,0,0,135833030,Number of young women (unweighted),U,Total,1995,1
7.5,354461,0,1,0,135833040,Sexually active young women having multiple partners in last year,I,Total,1754,1
1757,253303,0,0,0,135833050,Number of sexually active young women,D,Total,1754,1
1754,354462,0,0,0,135833060,Number of sexually active young women (unweighted),U,Total,1995,1
61.4,429205,0,1,0,135833070,Young women using a condom at last sexual intercourse,I,Total,153,1
132,253314,0,0,0,135833080,Number of young women,D,Total,153,1
153,429207,0,0,0,135833090,Number of young women (unweighted),U,Total,1995,1
20.7,253316,0,1,0,135834100,Young men having multiple partners in last year,I,Total,1307,1
1235,253323,0,0,0,135834110,Number of young men,D,Total,1307,1
1307,253326,0,0,0,135834120,Number of young men (unweighted),U,Total,1995,1
32.4,253334,0,1,0,135834130,Sexually active young men having multiple partners in last year,I,Total,820,1
788,253336,0,0,0,135834140,Number of sexually active young men,D,Total,820,1
820,253331,0,0,0,135834150,Number of sexually active young men (unweighted),U,Total,1995,1
72.9,516011,0,1,0,135834160,Young men using a condom at last sexual intercourse,I,Total,244,1
256,516010,0,0,0,135834170,Number of young men,D,Total,244,1
244,253320,0,0,0,135834180,Number of young men (unweighted),U,Total,1995,1
5.9,253321,0,1,0,135863010,"Age-mixing in sexual partnerships (young women age 15-19, any partner in the last 12 months)",I,Total,1153,1
575,253322,0,0,0,135863020,Number of young women,D,Total,1153,1
1153,253319,0,0,0,135863030,Number of young women (unweighted),U,Total,1995,1
1.738,452376,0,1,0,135864040,"Age-mixing in sexual partnerships (young men age 15-24, any partner in the last 12 months)",I,Total,308,1
287,454666,0,0,0,135864048.29999998,Number of young men,D,Total,308,1
308,287454,0,0,0,135864048.29999998,Number of young men (unweighted),U,Total,1995,1
