variable,n_miss,pct_miss,dataset
survey_type,1,1.8867924528301887,dhs-quickstats_national_zaf.csv
iso3,0,0,dhs-quickstats_national_zaf.csv
data_id,0,0,dhs-quickstats_national_zaf.csv
indicator,0,0,dhs-quickstats_national_zaf.csv
value,0,0,dhs-quickstats_national_zaf.csv
precision,0,0,dhs-quickstats_national_zaf.csv
country_name,0,0,dhs-quickstats_national_zaf.csv
survey_year,0,0,dhs-quickstats_national_zaf.csv
survey_id,0,0,dhs-quickstats_national_zaf.csv
indicator_id,0,0,dhs-quickstats_national_zaf.csv
by_variable_id,0,0,dhs-quickstats_national_zaf.csv
region_id,119,100,hiv-behavior_national_zaf.csv
ci_low,119,100,hiv-behavior_national_zaf.csv
ci_high,119,100,hiv-behavior_national_zaf.csv
level_rank,119,100,hiv-behavior_national_zaf.csv
by_variable_label,118,99.15966386554622,hiv-behavior_national_zaf.csv
denominator_weighted,40,33.61344537815126,hiv-behavior_national_zaf.csv
denominator_unweighted,39,32.773109243697476,hiv-behavior_national_zaf.csv
dhs_country_code,1,0.8403361344537815,hiv-behavior_national_zaf.csv
indicator_order,1,0.8403361344537815,hiv-behavior_national_zaf.csv
indicator_type,1,0.8403361344537815,hiv-behavior_national_zaf.csv
characteristic_id,1,0.8403361344537815,hiv-behavior_national_zaf.csv
characteristic_order,1,0.8403361344537815,hiv-behavior_national_zaf.csv
characteristic_category,1,0.8403361344537815,hiv-behavior_national_zaf.csv
characteristic_label,1,0.8403361344537815,hiv-behavior_national_zaf.csv
is_total,1,0.8403361344537815,hiv-behavior_national_zaf.csv
is_preferred,1,0.8403361344537815,hiv-behavior_national_zaf.csv
sdrid,1,0.8403361344537815,hiv-behavior_national_zaf.csv
survey_year_label,1,0.8403361344537815,hiv-behavior_national_zaf.csv
survey_type,1,0.8403361344537815,hiv-behavior_national_zaf.csv
iso3,0,0,hiv-behavior_national_zaf.csv
data_id,0,0,hiv-behavior_national_zaf.csv
indicator,0,0,hiv-behavior_national_zaf.csv
value,0,0,hiv-behavior_national_zaf.csv
precision,0,0,hiv-behavior_national_zaf.csv
country_name,0,0,hiv-behavior_national_zaf.csv
survey_year,0,0,hiv-behavior_national_zaf.csv
survey_id,0,0,hiv-behavior_national_zaf.csv
indicator_id,0,0,hiv-behavior_national_zaf.csv
by_variable_id,0,0,hiv-behavior_national_zaf.csv
region_id,117,100,immunization_national_zaf.csv
ci_low,117,100,immunization_national_zaf.csv
ci_high,117,100,immunization_national_zaf.csv
level_rank,117,100,immunization_national_zaf.csv
by_variable_label,56,47.863247863247864,immunization_national_zaf.csv
denominator_weighted,9,7.6923076923076925,immunization_national_zaf.csv
denominator_unweighted,9,7.6923076923076925,immunization_national_zaf.csv
dhs_country_code,1,0.8547008547008548,immunization_national_zaf.csv
indicator_order,1,0.8547008547008548,immunization_national_zaf.csv
indicator_type,1,0.8547008547008548,immunization_national_zaf.csv
characteristic_id,1,0.8547008547008548,immunization_national_zaf.csv
characteristic_order,1,0.8547008547008548,immunization_national_zaf.csv
characteristic_category,1,0.8547008547008548,immunization_national_zaf.csv
characteristic_label,1,0.8547008547008548,immunization_national_zaf.csv
is_total,1,0.8547008547008548,immunization_national_zaf.csv
is_preferred,1,0.8547008547008548,immunization_national_zaf.csv
sdrid,1,0.8547008547008548,immunization_national_zaf.csv
survey_year_label,1,0.8547008547008548,immunization_national_zaf.csv
survey_type,1,0.8547008547008548,immunization_national_zaf.csv
iso3,0,0,immunization_national_zaf.csv
data_id,0,0,immunization_national_zaf.csv
indicator,0,0,immunization_national_zaf.csv
value,0,0,immunization_national_zaf.csv
precision,0,0,immunization_national_zaf.csv
country_name,0,0,immunization_national_zaf.csv
survey_year,0,0,immunization_national_zaf.csv
survey_id,0,0,immunization_national_zaf.csv
indicator_id,0,0,immunization_national_zaf.csv
by_variable_id,0,0,immunization_national_zaf.csv
region_id,23,100,iycf_national_zaf.csv
ci_low,23,100,iycf_national_zaf.csv
ci_high,23,100,iycf_national_zaf.csv
level_rank,23,100,iycf_national_zaf.csv
by_variable_label,22,95.65217391304348,iycf_national_zaf.csv
denominator_weighted,3,13.043478260869565,iycf_national_zaf.csv
denominator_unweighted,3,13.043478260869565,iycf_national_zaf.csv
dhs_country_code,1,4.3478260869565215,iycf_national_zaf.csv
indicator_order,1,4.3478260869565215,iycf_national_zaf.csv
indicator_type,1,4.3478260869565215,iycf_national_zaf.csv
characteristic_id,1,4.3478260869565215,iycf_national_zaf.csv
characteristic_order,1,4.3478260869565215,iycf_national_zaf.csv
characteristic_category,1,4.3478260869565215,iycf_national_zaf.csv
characteristic_label,1,4.3478260869565215,iycf_national_zaf.csv
is_total,1,4.3478260869565215,iycf_national_zaf.csv
is_preferred,1,4.3478260869565215,iycf_national_zaf.csv
sdrid,1,4.3478260869565215,iycf_national_zaf.csv
survey_year_label,1,4.3478260869565215,iycf_national_zaf.csv
survey_type,1,4.3478260869565215,iycf_national_zaf.csv
iso3,0,0,iycf_national_zaf.csv
data_id,0,0,iycf_national_zaf.csv
indicator,0,0,iycf_national_zaf.csv
value,0,0,iycf_national_zaf.csv
precision,0,0,iycf_national_zaf.csv
country_name,0,0,iycf_national_zaf.csv
survey_year,0,0,iycf_national_zaf.csv
survey_id,0,0,iycf_national_zaf.csv
indicator_id,0,0,iycf_national_zaf.csv
by_variable_id,0,0,iycf_national_zaf.csv
region_id,21,100,literacy_national_zaf.csv
ci_low,21,100,literacy_national_zaf.csv
ci_high,21,100,literacy_national_zaf.csv
level_rank,21,100,literacy_national_zaf.csv
by_variable_label,20,95.23809523809523,literacy_national_zaf.csv
denominator_weighted,3,14.285714285714285,literacy_national_zaf.csv
denominator_unweighted,3,14.285714285714285,literacy_national_zaf.csv
dhs_country_code,1,4.761904761904762,literacy_national_zaf.csv
indicator_order,1,4.761904761904762,literacy_national_zaf.csv
indicator_type,1,4.761904761904762,literacy_national_zaf.csv
characteristic_id,1,4.761904761904762,literacy_national_zaf.csv
characteristic_order,1,4.761904761904762,literacy_national_zaf.csv
characteristic_category,1,4.761904761904762,literacy_national_zaf.csv
characteristic_label,1,4.761904761904762,literacy_national_zaf.csv
is_total,1,4.761904761904762,literacy_national_zaf.csv
is_preferred,1,4.761904761904762,literacy_national_zaf.csv
sdrid,1,4.761904761904762,literacy_national_zaf.csv
survey_year_label,1,4.761904761904762,literacy_national_zaf.csv
survey_type,1,4.761904761904762,literacy_national_zaf.csv
iso3,0,0,literacy_national_zaf.csv
data_id,0,0,literacy_national_zaf.csv
indicator,0,0,literacy_national_zaf.csv
value,0,0,literacy_national_zaf.csv
precision,0,0,literacy_national_zaf.csv
country_name,0,0,literacy_national_zaf.csv
survey_year,0,0,literacy_national_zaf.csv
survey_id,0,0,literacy_national_zaf.csv
indicator_id,0,0,literacy_national_zaf.csv
by_variable_id,0,0,literacy_national_zaf.csv
region_id,22,100,maternal-mortality_national_zaf.csv
level_rank,22,100,maternal-mortality_national_zaf.csv
by_variable_label,21,95.45454545454545,maternal-mortality_national_zaf.csv
denominator_weighted,20,90.9090909090909,maternal-mortality_national_zaf.csv
ci_low,19,86.36363636363636,maternal-mortality_national_zaf.csv
ci_high,19,86.36363636363636,maternal-mortality_national_zaf.csv
denominator_unweighted,16,72.72727272727273,maternal-mortality_national_zaf.csv
dhs_country_code,1,4.545454545454546,maternal-mortality_national_zaf.csv
indicator_order,1,4.545454545454546,maternal-mortality_national_zaf.csv
indicator_type,1,4.545454545454546,maternal-mortality_national_zaf.csv
characteristic_id,1,4.545454545454546,maternal-mortality_national_zaf.csv
characteristic_order,1,4.545454545454546,maternal-mortality_national_zaf.csv
characteristic_category,1,4.545454545454546,maternal-mortality_national_zaf.csv
characteristic_label,1,4.545454545454546,maternal-mortality_national_zaf.csv
is_total,1,4.545454545454546,maternal-mortality_national_zaf.csv
is_preferred,1,4.545454545454546,maternal-mortality_national_zaf.csv
sdrid,1,4.545454545454546,maternal-mortality_national_zaf.csv
survey_year_label,1,4.545454545454546,maternal-mortality_national_zaf.csv
survey_type,1,4.545454545454546,maternal-mortality_national_zaf.csv
iso3,0,0,maternal-mortality_national_zaf.csv
data_id,0,0,maternal-mortality_national_zaf.csv
indicator,0,0,maternal-mortality_national_zaf.csv
value,0,0,maternal-mortality_national_zaf.csv
precision,0,0,maternal-mortality_national_zaf.csv
country_name,0,0,maternal-mortality_national_zaf.csv
survey_year,0,0,maternal-mortality_national_zaf.csv
survey_id,0,0,maternal-mortality_national_zaf.csv
indicator_id,0,0,maternal-mortality_national_zaf.csv
by_variable_id,0,0,maternal-mortality_national_zaf.csv
region_id,27,100,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
ci_low,27,100,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
ci_high,27,100,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
level_rank,27,100,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
denominator_weighted,9,33.33333333333333,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
denominator_unweighted,9,33.33333333333333,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
dhs_country_code,1,3.7037037037037033,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
indicator_order,1,3.7037037037037033,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
indicator_type,1,3.7037037037037033,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
characteristic_id,1,3.7037037037037033,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
characteristic_order,1,3.7037037037037033,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
characteristic_category,1,3.7037037037037033,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
characteristic_label,1,3.7037037037037033,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
is_total,1,3.7037037037037033,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
is_preferred,1,3.7037037037037033,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
sdrid,1,3.7037037037037033,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
survey_year_label,1,3.7037037037037033,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
survey_type,1,3.7037037037037033,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
iso3,0,0,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
data_id,0,0,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
indicator,0,0,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
value,0,0,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
precision,0,0,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
country_name,0,0,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
survey_year,0,0,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
survey_id,0,0,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
indicator_id,0,0,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
by_variable_id,0,0,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
by_variable_label,0,0,symptoms-of-acute-respiratory-infection-ari_national_zaf.csv
region_id,47,100,toilet-facilities_national_zaf.csv
ci_low,47,100,toilet-facilities_national_zaf.csv
ci_high,47,100,toilet-facilities_national_zaf.csv
level_rank,47,100,toilet-facilities_national_zaf.csv
by_variable_label,46,97.87234042553192,toilet-facilities_national_zaf.csv
denominator_weighted,5,10.638297872340425,toilet-facilities_national_zaf.csv
denominator_unweighted,5,10.638297872340425,toilet-facilities_national_zaf.csv
dhs_country_code,1,2.127659574468085,toilet-facilities_national_zaf.csv
indicator_order,1,2.127659574468085,toilet-facilities_national_zaf.csv
indicator_type,1,2.127659574468085,toilet-facilities_national_zaf.csv
characteristic_id,1,2.127659574468085,toilet-facilities_national_zaf.csv
characteristic_order,1,2.127659574468085,toilet-facilities_national_zaf.csv
characteristic_category,1,2.127659574468085,toilet-facilities_national_zaf.csv
characteristic_label,1,2.127659574468085,toilet-facilities_national_zaf.csv
is_total,1,2.127659574468085,toilet-facilities_national_zaf.csv
is_preferred,1,2.127659574468085,toilet-facilities_national_zaf.csv
sdrid,1,2.127659574468085,toilet-facilities_national_zaf.csv
survey_year_label,1,2.127659574468085,toilet-facilities_national_zaf.csv
survey_type,1,2.127659574468085,toilet-facilities_national_zaf.csv
iso3,0,0,toilet-facilities_national_zaf.csv
data_id,0,0,toilet-facilities_national_zaf.csv
indicator,0,0,toilet-facilities_national_zaf.csv
value,0,0,toilet-facilities_national_zaf.csv
precision,0,0,toilet-facilities_national_zaf.csv
country_name,0,0,toilet-facilities_national_zaf.csv
survey_year,0,0,toilet-facilities_national_zaf.csv
survey_id,0,0,toilet-facilities_national_zaf.csv
indicator_id,0,0,toilet-facilities_national_zaf.csv
by_variable_id,0,0,toilet-facilities_national_zaf.csv
region_id,101,100,water_national_zaf.csv
ci_low,101,100,water_national_zaf.csv
ci_high,101,100,water_national_zaf.csv
level_rank,101,100,water_national_zaf.csv
by_variable_label,100,99.00990099009901,water_national_zaf.csv
denominator_weighted,5,4.9504950495049505,water_national_zaf.csv
denominator_unweighted,5,4.9504950495049505,water_national_zaf.csv
dhs_country_code,1,0.9900990099009901,water_national_zaf.csv
indicator_order,1,0.9900990099009901,water_national_zaf.csv
indicator_type,1,0.9900990099009901,water_national_zaf.csv
characteristic_id,1,0.9900990099009901,water_national_zaf.csv
characteristic_order,1,0.9900990099009901,water_national_zaf.csv
characteristic_category,1,0.9900990099009901,water_national_zaf.csv
characteristic_label,1,0.9900990099009901,water_national_zaf.csv
is_total,1,0.9900990099009901,water_national_zaf.csv
is_preferred,1,0.9900990099009901,water_national_zaf.csv
sdrid,1,0.9900990099009901,water_national_zaf.csv
survey_year_label,1,0.9900990099009901,water_national_zaf.csv
survey_type,1,0.9900990099009901,water_national_zaf.csv
iso3,0,0,water_national_zaf.csv
data_id,0,0,water_national_zaf.csv
indicator,0,0,water_national_zaf.csv
value,0,0,water_national_zaf.csv
precision,0,0,water_national_zaf.csv
country_name,0,0,water_national_zaf.csv
survey_year,0,0,water_national_zaf.csv
survey_id,0,0,water_national_zaf.csv
indicator_id,0,0,water_national_zaf.csv
by_variable_id,0,0,water_national_zaf.csv
