dataset,variable,method
covid-19-prevention_national_zaf.csv,data_id,mode_or_unknown
covid-19-prevention_national_zaf.csv,indicator,mode_or_unknown
covid-19-prevention_national_zaf.csv,value,mode_or_unknown
covid-19-prevention_national_zaf.csv,precision,mode_or_unknown
covid-19-prevention_national_zaf.csv,dhs_country_code,mode_or_unknown
covid-19-prevention_national_zaf.csv,country_name,mode_or_unknown
covid-19-prevention_national_zaf.csv,survey_year,mode_or_unknown
covid-19-prevention_national_zaf.csv,survey_id,mode_or_unknown
covid-19-prevention_national_zaf.csv,indicator_id,mode_or_unknown
covid-19-prevention_national_zaf.csv,indicator_order,mice_pmm_or_median
covid-19-prevention_national_zaf.csv,indicator_type,mode_or_unknown
covid-19-prevention_national_zaf.csv,characteristic_id,mice_pmm_or_median
covid-19-prevention_national_zaf.csv,characteristic_order,imputeTS_interpolation
covid-19-prevention_national_zaf.csv,characteristic_category,mode_or_unknown
covid-19-prevention_national_zaf.csv,characteristic_label,mode_or_unknown
covid-19-prevention_national_zaf.csv,by_variable_id,mode_or_unknown
covid-19-prevention_national_zaf.csv,by_variable_label,mode_or_unknown
covid-19-prevention_national_zaf.csv,is_total,imputeTS_interpolation
covid-19-prevention_national_zaf.csv,is_preferred,imputeTS_interpolation
covid-19-prevention_national_zaf.csv,sdrid,mode_or_unknown
covid-19-prevention_national_zaf.csv,region_id,leave_as_is
covid-19-prevention_national_zaf.csv,survey_year_label,mice_pmm_or_median
covid-19-prevention_national_zaf.csv,survey_type,mode_or_unknown
covid-19-prevention_national_zaf.csv,denominator_weighted,mice_pmm_or_median
covid-19-prevention_national_zaf.csv,denominator_unweighted,mice_pmm_or_median
covid-19-prevention_national_zaf.csv,ci_low,leave_as_is
covid-19-prevention_national_zaf.csv,ci_high,leave_as_is
covid-19-prevention_national_zaf.csv,level_rank,leave_as_is
dhs-quickstats_national_zaf.csv,iso3,mode_or_unknown
dhs-quickstats_national_zaf.csv,data_id,mode_or_unknown
dhs-quickstats_national_zaf.csv,indicator,mode_or_unknown
dhs-quickstats_national_zaf.csv,value,mode_or_unknown
dhs-quickstats_national_zaf.csv,precision,mode_or_unknown
dhs-quickstats_national_zaf.csv,dhs_country_code,mode_or_unknown
dhs-quickstats_national_zaf.csv,country_name,mode_or_unknown
dhs-quickstats_national_zaf.csv,survey_year,mode_or_unknown
dhs-quickstats_national_zaf.csv,survey_id,mode_or_unknown
dhs-quickstats_national_zaf.csv,indicator_id,mode_or_unknown
dhs-quickstats_national_zaf.csv,indicator_order,mice_pmm_or_median
dhs-quickstats_national_zaf.csv,indicator_type,mode_or_unknown
dhs-quickstats_national_zaf.csv,characteristic_id,mice_pmm_or_median
dhs-quickstats_national_zaf.csv,characteristic_order,mice_pmm_or_median
dhs-quickstats_national_zaf.csv,characteristic_category,mode_or_unknown
dhs-quickstats_national_zaf.csv,characteristic_label,mode_or_unknown
dhs-quickstats_national_zaf.csv,by_variable_id,mode_or_unknown
dhs-quickstats_national_zaf.csv,by_variable_label,mode_or_unknown
dhs-quickstats_national_zaf.csv,is_total,imputeTS_interpolation
dhs-quickstats_national_zaf.csv,is_preferred,imputeTS_interpolation
dhs-quickstats_national_zaf.csv,sdrid,mode_or_unknown
dhs-quickstats_national_zaf.csv,region_id,leave_as_is
dhs-quickstats_national_zaf.csv,survey_year_label,mice_pmm_or_median
dhs-quickstats_national_zaf.csv,survey_type,mode_or_unknown
dhs-quickstats_national_zaf.csv,denominator_weighted,mice_pmm_or_median
dhs-quickstats_national_zaf.csv,denominator_unweighted,mice_pmm_or_median
dhs-quickstats_national_zaf.csv,ci_low,mice_pmm_or_median
dhs-quickstats_national_zaf.csv,ci_high,mice_pmm_or_median
dhs-quickstats_national_zaf.csv,level_rank,leave_as_is
hiv-behavior_national_zaf.csv,iso3,mode_or_unknown
hiv-behavior_national_zaf.csv,data_id,mode_or_unknown
hiv-behavior_national_zaf.csv,indicator,mode_or_unknown
hiv-behavior_national_zaf.csv,value,mode_or_unknown
hiv-behavior_national_zaf.csv,precision,mode_or_unknown
hiv-behavior_national_zaf.csv,dhs_country_code,mode_or_unknown
hiv-behavior_national_zaf.csv,country_name,mode_or_unknown
hiv-behavior_national_zaf.csv,survey_year,mode_or_unknown
hiv-behavior_national_zaf.csv,survey_id,mode_or_unknown
hiv-behavior_national_zaf.csv,indicator_id,mode_or_unknown
hiv-behavior_national_zaf.csv,indicator_order,mice_pmm_or_median
hiv-behavior_national_zaf.csv,indicator_type,mode_or_unknown
hiv-behavior_national_zaf.csv,characteristic_id,mice_pmm_or_median
hiv-behavior_national_zaf.csv,characteristic_order,mice_pmm_or_median
hiv-behavior_national_zaf.csv,characteristic_category,mode_or_unknown
hiv-behavior_national_zaf.csv,characteristic_label,mode_or_unknown
hiv-behavior_national_zaf.csv,by_variable_id,mode_or_unknown
hiv-behavior_national_zaf.csv,by_variable_label,mode_or_unknown
hiv-behavior_national_zaf.csv,is_total,imputeTS_interpolation
hiv-behavior_national_zaf.csv,is_preferred,imputeTS_interpolation
hiv-behavior_national_zaf.csv,sdrid,mode_or_unknown
hiv-behavior_national_zaf.csv,region_id,leave_as_is
hiv-behavior_national_zaf.csv,survey_year_label,mice_pmm_or_median
hiv-behavior_national_zaf.csv,survey_type,mode_or_unknown
hiv-behavior_national_zaf.csv,denominator_weighted,mice_pmm_or_median
hiv-behavior_national_zaf.csv,denominator_unweighted,mice_pmm_or_median
hiv-behavior_national_zaf.csv,ci_low,leave_as_is
hiv-behavior_national_zaf.csv,ci_high,leave_as_is
hiv-behavior_national_zaf.csv,level_rank,leave_as_is
immunization_national_zaf.csv,iso3,mode_or_unknown
immunization_national_zaf.csv,data_id,mode_or_unknown
immunization_national_zaf.csv,indicator,mode_or_unknown
immunization_national_zaf.csv,value,mode_or_unknown
immunization_national_zaf.csv,precision,mode_or_unknown
immunization_national_zaf.csv,dhs_country_code,mode_or_unknown
immunization_national_zaf.csv,country_name,mode_or_unknown
immunization_national_zaf.csv,survey_year,mode_or_unknown
immunization_national_zaf.csv,survey_id,mode_or_unknown
immunization_national_zaf.csv,indicator_id,mode_or_unknown
immunization_national_zaf.csv,indicator_order,mice_pmm_or_median
immunization_national_zaf.csv,indicator_type,mode_or_unknown
immunization_national_zaf.csv,characteristic_id,mice_pmm_or_median
immunization_national_zaf.csv,characteristic_order,mice_pmm_or_median
immunization_national_zaf.csv,characteristic_category,mode_or_unknown
immunization_national_zaf.csv,characteristic_label,mode_or_unknown
immunization_national_zaf.csv,by_variable_id,mode_or_unknown
immunization_national_zaf.csv,by_variable_label,mode_or_unknown
immunization_national_zaf.csv,is_total,imputeTS_interpolation
immunization_national_zaf.csv,is_preferred,imputeTS_interpolation
immunization_national_zaf.csv,sdrid,mode_or_unknown
immunization_national_zaf.csv,region_id,leave_as_is
immunization_national_zaf.csv,survey_year_label,mice_pmm_or_median
immunization_national_zaf.csv,survey_type,mode_or_unknown
immunization_national_zaf.csv,denominator_weighted,mice_pmm_or_median
immunization_national_zaf.csv,denominator_unweighted,mice_pmm_or_median
immunization_national_zaf.csv,ci_low,leave_as_is
immunization_national_zaf.csv,ci_high,leave_as_is
immunization_national_zaf.csv,level_rank,leave_as_is
iycf_national_zaf.csv,iso3,mode_or_unknown
iycf_national_zaf.csv,data_id,mode_or_unknown
iycf_national_zaf.csv,indicator,mode_or_unknown
iycf_national_zaf.csv,value,mode_or_unknown
iycf_national_zaf.csv,precision,mode_or_unknown
iycf_national_zaf.csv,dhs_country_code,mode_or_unknown
iycf_national_zaf.csv,country_name,mode_or_unknown
iycf_national_zaf.csv,survey_year,mode_or_unknown
iycf_national_zaf.csv,survey_id,mode_or_unknown
iycf_national_zaf.csv,indicator_id,mode_or_unknown
iycf_national_zaf.csv,indicator_order,mice_pmm_or_median
iycf_national_zaf.csv,indicator_type,mode_or_unknown
iycf_national_zaf.csv,characteristic_id,mice_pmm_or_median
iycf_national_zaf.csv,characteristic_order,mice_pmm_or_median
iycf_national_zaf.csv,characteristic_category,mode_or_unknown
iycf_national_zaf.csv,characteristic_label,mode_or_unknown
iycf_national_zaf.csv,by_variable_id,mode_or_unknown
iycf_national_zaf.csv,by_variable_label,mode_or_unknown
iycf_national_zaf.csv,is_total,imputeTS_interpolation
iycf_national_zaf.csv,is_preferred,imputeTS_interpolation
iycf_national_zaf.csv,sdrid,mode_or_unknown
iycf_national_zaf.csv,region_id,leave_as_is
iycf_national_zaf.csv,survey_year_label,mice_pmm_or_median
iycf_national_zaf.csv,survey_type,mode_or_unknown
iycf_national_zaf.csv,denominator_weighted,mice_pmm_or_median
iycf_national_zaf.csv,denominator_unweighted,mice_pmm_or_median
iycf_national_zaf.csv,ci_low,leave_as_is
iycf_national_zaf.csv,ci_high,leave_as_is
iycf_national_zaf.csv,level_rank,leave_as_is
literacy_national_zaf.csv,iso3,mode_or_unknown
literacy_national_zaf.csv,data_id,mode_or_unknown
literacy_national_zaf.csv,indicator,mode_or_unknown
literacy_national_zaf.csv,value,mode_or_unknown
literacy_national_zaf.csv,precision,mode_or_unknown
literacy_national_zaf.csv,dhs_country_code,mode_or_unknown
literacy_national_zaf.csv,country_name,mode_or_unknown
literacy_national_zaf.csv,survey_year,mode_or_unknown
literacy_national_zaf.csv,survey_id,mode_or_unknown
literacy_national_zaf.csv,indicator_id,mode_or_unknown
literacy_national_zaf.csv,indicator_order,mice_pmm_or_median
literacy_national_zaf.csv,indicator_type,mode_or_unknown
literacy_national_zaf.csv,characteristic_id,mice_pmm_or_median
literacy_national_zaf.csv,characteristic_order,mice_pmm_or_median
literacy_national_zaf.csv,characteristic_category,mode_or_unknown
literacy_national_zaf.csv,characteristic_label,mode_or_unknown
literacy_national_zaf.csv,by_variable_id,mode_or_unknown
literacy_national_zaf.csv,by_variable_label,mode_or_unknown
literacy_national_zaf.csv,is_total,imputeTS_interpolation
literacy_national_zaf.csv,is_preferred,imputeTS_interpolation
literacy_national_zaf.csv,sdrid,mode_or_unknown
literacy_national_zaf.csv,region_id,leave_as_is
literacy_national_zaf.csv,survey_year_label,mice_pmm_or_median
literacy_national_zaf.csv,survey_type,mode_or_unknown
literacy_national_zaf.csv,denominator_weighted,mice_pmm_or_median
literacy_national_zaf.csv,denominator_unweighted,mice_pmm_or_median
literacy_national_zaf.csv,ci_low,leave_as_is
literacy_national_zaf.csv,ci_high,leave_as_is
literacy_national_zaf.csv,level_rank,leave_as_is
maternal-mortality_national_zaf.csv,iso3,mode_or_unknown
maternal-mortality_national_zaf.csv,data_id,mode_or_unknown
maternal-mortality_national_zaf.csv,indicator,mode_or_unknown
maternal-mortality_national_zaf.csv,value,mode_or_unknown
maternal-mortality_national_zaf.csv,precision,mode_or_unknown
maternal-mortality_national_zaf.csv,dhs_country_code,mode_or_unknown
maternal-mortality_national_zaf.csv,country_name,mode_or_unknown
maternal-mortality_national_zaf.csv,survey_year,mode_or_unknown
maternal-mortality_national_zaf.csv,survey_id,mode_or_unknown
maternal-mortality_national_zaf.csv,indicator_id,mode_or_unknown
maternal-mortality_national_zaf.csv,indicator_order,mice_pmm_or_median
maternal-mortality_national_zaf.csv,indicator_type,mode_or_unknown
maternal-mortality_national_zaf.csv,characteristic_id,mice_pmm_or_median
maternal-mortality_national_zaf.csv,characteristic_order,mice_pmm_or_median
maternal-mortality_national_zaf.csv,characteristic_category,mode_or_unknown
maternal-mortality_national_zaf.csv,characteristic_label,mode_or_unknown
maternal-mortality_national_zaf.csv,by_variable_id,mode_or_unknown
maternal-mortality_national_zaf.csv,by_variable_label,mode_or_unknown
maternal-mortality_national_zaf.csv,is_total,imputeTS_interpolation
maternal-mortality_national_zaf.csv,is_preferred,imputeTS_interpolation
maternal-mortality_national_zaf.csv,sdrid,mode_or_unknown
maternal-mortality_national_zaf.csv,region_id,leave_as_is
maternal-mortality_national_zaf.csv,survey_year_label,mice_pmm_or_median
maternal-mortality_national_zaf.csv,survey_type,mode_or_unknown
maternal-mortality_national_zaf.csv,denominator_weighted,mice_pmm_or_median
maternal-mortality_national_zaf.csv,denominator_unweighted,mice_pmm_or_median
maternal-mortality_national_zaf.csv,ci_low,mice_pmm_or_median
maternal-mortality_national_zaf.csv,ci_high,mice_pmm_or_median
maternal-mortality_national_zaf.csv,level_rank,leave_as_is
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,iso3,mode_or_unknown
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,data_id,mode_or_unknown
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,indicator,mode_or_unknown
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,value,mode_or_unknown
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,precision,mode_or_unknown
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,dhs_country_code,mode_or_unknown
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,country_name,mode_or_unknown
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,survey_year,mode_or_unknown
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,survey_id,mode_or_unknown
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,indicator_id,mode_or_unknown
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,indicator_order,mice_pmm_or_median
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,indicator_type,mode_or_unknown
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,characteristic_id,mice_pmm_or_median
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,characteristic_order,imputeTS_interpolation
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,characteristic_category,mode_or_unknown
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,characteristic_label,mode_or_unknown
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,by_variable_id,mode_or_unknown
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,by_variable_label,mode_or_unknown
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,is_total,imputeTS_interpolation
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,is_preferred,imputeTS_interpolation
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,sdrid,mode_or_unknown
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,region_id,leave_as_is
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,survey_year_label,mice_pmm_or_median
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,survey_type,mode_or_unknown
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,denominator_weighted,mice_pmm_or_median
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,denominator_unweighted,mice_pmm_or_median
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,ci_low,leave_as_is
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,ci_high,leave_as_is
symptoms-of-acute-respiratory-infection-ari_national_zaf.csv,level_rank,leave_as_is
toilet-facilities_national_zaf.csv,iso3,mode_or_unknown
toilet-facilities_national_zaf.csv,data_id,mode_or_unknown
toilet-facilities_national_zaf.csv,indicator,mode_or_unknown
toilet-facilities_national_zaf.csv,value,mode_or_unknown
toilet-facilities_national_zaf.csv,precision,mode_or_unknown
toilet-facilities_national_zaf.csv,dhs_country_code,mode_or_unknown
toilet-facilities_national_zaf.csv,country_name,mode_or_unknown
toilet-facilities_national_zaf.csv,survey_year,mode_or_unknown
toilet-facilities_national_zaf.csv,survey_id,mode_or_unknown
toilet-facilities_national_zaf.csv,indicator_id,mode_or_unknown
toilet-facilities_national_zaf.csv,indicator_order,mice_pmm_or_median
toilet-facilities_national_zaf.csv,indicator_type,mode_or_unknown
toilet-facilities_national_zaf.csv,characteristic_id,mice_pmm_or_median
toilet-facilities_national_zaf.csv,characteristic_order,imputeTS_interpolation
toilet-facilities_national_zaf.csv,characteristic_category,mode_or_unknown
toilet-facilities_national_zaf.csv,characteristic_label,mode_or_unknown
toilet-facilities_national_zaf.csv,by_variable_id,mode_or_unknown
toilet-facilities_national_zaf.csv,by_variable_label,mode_or_unknown
toilet-facilities_national_zaf.csv,is_total,imputeTS_interpolation
toilet-facilities_national_zaf.csv,is_preferred,imputeTS_interpolation
toilet-facilities_national_zaf.csv,sdrid,mode_or_unknown
toilet-facilities_national_zaf.csv,region_id,leave_as_is
toilet-facilities_national_zaf.csv,survey_year_label,mice_pmm_or_median
toilet-facilities_national_zaf.csv,survey_type,mode_or_unknown
toilet-facilities_national_zaf.csv,denominator_weighted,mice_pmm_or_median
toilet-facilities_national_zaf.csv,denominator_unweighted,mice_pmm_or_median
toilet-facilities_national_zaf.csv,ci_low,leave_as_is
toilet-facilities_national_zaf.csv,ci_high,leave_as_is
toilet-facilities_national_zaf.csv,level_rank,leave_as_is
water_national_zaf.csv,iso3,mode_or_unknown
water_national_zaf.csv,data_id,mode_or_unknown
water_national_zaf.csv,indicator,mode_or_unknown
water_national_zaf.csv,value,mode_or_unknown
water_national_zaf.csv,precision,mode_or_unknown
water_national_zaf.csv,dhs_country_code,mode_or_unknown
water_national_zaf.csv,country_name,mode_or_unknown
water_national_zaf.csv,survey_year,mode_or_unknown
water_national_zaf.csv,survey_id,mode_or_unknown
water_national_zaf.csv,indicator_id,mode_or_unknown
water_national_zaf.csv,indicator_order,mice_pmm_or_median
water_national_zaf.csv,indicator_type,mode_or_unknown
water_national_zaf.csv,characteristic_id,mice_pmm_or_median
water_national_zaf.csv,characteristic_order,imputeTS_interpolation
water_national_zaf.csv,characteristic_category,mode_or_unknown
water_national_zaf.csv,characteristic_label,mode_or_unknown
water_national_zaf.csv,by_variable_id,mode_or_unknown
water_national_zaf.csv,by_variable_label,mode_or_unknown
water_national_zaf.csv,is_total,imputeTS_interpolation
water_national_zaf.csv,is_preferred,imputeTS_interpolation
water_national_zaf.csv,sdrid,mode_or_unknown
water_national_zaf.csv,region_id,leave_as_is
water_national_zaf.csv,survey_year_label,mice_pmm_or_median
water_national_zaf.csv,survey_type,mode_or_unknown
water_national_zaf.csv,denominator_weighted,mice_pmm_or_median
water_national_zaf.csv,denominator_unweighted,mice_pmm_or_median
water_national_zaf.csv,ci_low,leave_as_is
water_national_zaf.csv,ci_high,leave_as_is
water_national_zaf.csv,level_rank,leave_as_is
