dataset,field,total_count,missing_count,missing_rate,unique_count,unique_rate,field_type,mean_value,std_dev,coefficient_of_variation,skewness,kurtosis,outlier_count,outlier_rate,max_frequency,mode_frequency_rate,rare_categories,cardinality_ratio,min_value,max_value,high_missing_flag,excessive_outliers_flag,low_variance_flag,total_issues,quality_rating
access-to-health-care_national_zaf,characteristic_label,275,0,0,1,0.0036363636363636364,categorical,NA,NA,NA,NA,NA,NA,NA,275,1,0,0.0036363636363636364,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
access-to-health-care_national_zaf,by_variable_id,275,0,0,4,0.014545454545454545,numeric,13338.963636363636,2976.6940411690375,0.22315781962657186,-4.266551386536947,19.203462111014698,13,0.04727272727272727,NA,NA,NA,NA,0,14002,FALSE,FALSE,FALSE,0,Good Quality
access-to-health-care_national_zaf,by_variable_label,275,13,0.04727272727272727,3,0.011450381679389313,categorical,NA,NA,NA,NA,NA,NA,NA,103,0.3931297709923664,0,0.011450381679389313,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
access-to-health-care_national_zaf,is_total,275,0,0,1,0.0036363636363636364,numeric,1,0,0,NA,NA,0,0,NA,NA,NA,NA,1,1,FALSE,FALSE,TRUE,1,Moderate Issues
access-to-health-care_national_zaf,is_preferred,275,0,0,2,0.007272727272727273,numeric,0.4218181818181818,0.49475014304977927,1.1728990460231836,0.31662186216382254,1.1002494036000867,0,0,NA,NA,NA,NA,0,1,FALSE,FALSE,FALSE,0,Good Quality
access-to-health-care_national_zaf,sdrid,275,0,0,72,0.26181818181818184,categorical,NA,NA,NA,NA,NA,NA,NA,6,0.02181818181818182,46,0.26181818181818184,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
access-to-health-care_national_zaf,region_id,275,275,1,0,NA,categorical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,1,Moderate Issues
access-to-health-care_national_zaf,survey_year_label,275,0,0,2,0.007272727272727273,numeric,2007.621818181818,8.994862501821554,0.004480357017621804,-0.1385128128359165,1.019185799319721,0,0,NA,NA,NA,NA,1998,2016,FALSE,FALSE,TRUE,1,Moderate Issues
access-to-health-care_national_zaf,survey_type,275,0,0,1,0.0036363636363636364,categorical,NA,NA,NA,NA,NA,NA,NA,275,1,0,0.0036363636363636364,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
access-to-health-care_national_zaf,denominator_weighted,275,34,0.12363636363636364,26,0.1078838174273859,numeric,2048.647302904564,1428.9279650329165,0.6974982775253642,0.490693566099248,2.3021612131541582,0,0,NA,NA,NA,NA,68,4992,FALSE,FALSE,FALSE,0,Good Quality
access-to-health-care_national_zaf,denominator_unweighted,275,34,0.12363636363636364,26,0.1078838174273859,numeric,2062.1659751037346,1445.141970189832,0.7007883883435405,0.5031041356397608,2.332945916040979,0,0,NA,NA,NA,NA,59,5066,FALSE,FALSE,FALSE,0,Good Quality
access-to-health-care_national_zaf,ci_low,275,275,1,0,NA,categorical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,1,Moderate Issues
access-to-health-care_national_zaf,ci_high,275,275,1,0,NA,categorical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,1,Moderate Issues
access-to-health-care_national_zaf,level_rank,275,275,1,0,NA,categorical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,1,Moderate Issues
anthropometry_national_zaf,iso3,37,0,0,1,0.02702702702702703,categorical,NA,NA,NA,NA,NA,NA,NA,37,1,0,0.02702702702702703,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
anthropometry_national_zaf,data_id,37,0,0,37,1,numeric,506428.8108108108,222913.13857467714,0.4401667792513328,-1.175634381606229,2.9486475886691026,0,0,NA,NA,NA,NA,26822,759177,FALSE,FALSE,FALSE,0,Good Quality
anthropometry_national_zaf,indicator,37,0,0,33,0.8918918918918919,categorical,NA,NA,NA,NA,NA,NA,NA,2,0.05405405405405406,33,0.8918918918918919,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
anthropometry_national_zaf,value,37,0,0,36,0.972972972972973,numeric,663.7675675675675,1265.5961300803958,1.9066857013190326,1.4409186003979575,3.1579880171568355,8,0.21621621621621623,NA,NA,NA,NA,-1.1,3405,FALSE,TRUE,FALSE,1,Moderate Issues
anthropometry_national_zaf,precision,37,0,0,2,0.05405405405405406,numeric,0.7837837837837838,0.4173417953838007,0.5324705665241595,-1.3787175450270868,2.900862068965517,8,0.21621621621621623,NA,NA,NA,NA,0,1,FALSE,TRUE,FALSE,1,Moderate Issues
anthropometry_national_zaf,dhs_country_code,37,0,0,1,0.02702702702702703,categorical,NA,NA,NA,NA,NA,NA,NA,37,1,0,0.02702702702702703,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
anthropometry_national_zaf,country_name,37,0,0,1,0.02702702702702703,categorical,NA,NA,NA,NA,NA,NA,NA,37,1,0,0.02702702702702703,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
anthropometry_national_zaf,survey_year,37,0,0,1,0.02702702702702703,numeric,2016,0,0,NA,NA,0,0,NA,NA,NA,NA,2016,2016,FALSE,FALSE,TRUE,1,Moderate Issues
anthropometry_national_zaf,survey_id,37,0,0,1,0.02702702702702703,categorical,NA,NA,NA,NA,NA,NA,NA,37,1,0,0.02702702702702703,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
anthropometry_national_zaf,indicator_id,37,0,0,37,1,categorical,NA,NA,NA,NA,NA,NA,NA,1,0.02702702702702703,37,1,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
anthropometry_national_zaf,indicator_order,37,0,0,37,1,numeric,111493274.86486487,4785521.4136999985,0.0429220634114504,-0.8869685608441072,1.7867132763899247,0,0,NA,NA,NA,NA,104236010,114564260,FALSE,FALSE,FALSE,0,Good Quality
anthropometry_national_zaf,indicator_type,37,0,0,3,0.08108108108108109,categorical,NA,NA,NA,NA,NA,NA,NA,29,0.7837837837837838,2,0.08108108108108109,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
anthropometry_national_zaf,characteristic_id,37,0,0,2,0.05405405405405406,numeric,4162.1621621621625,4355.797627642149,1.0465228066412953,0.6227523687795274,1.387820512820513,0,0,NA,NA,NA,NA,1000,10000,FALSE,FALSE,FALSE,0,Good Quality
anthropometry_national_zaf,characteristic_order,37,0,0,2,0.05405405405405406,numeric,3513.5135135135133,4839.77514182461,1.377474463442389,0.6227523687795278,1.3878205128205128,0,0,NA,NA,NA,NA,0,10000,FALSE,FALSE,FALSE,0,Good Quality
anthropometry_national_zaf,characteristic_category,37,0,0,2,0.05405405405405406,categorical,NA,NA,NA,NA,NA,NA,NA,24,0.6486486486486487,0,0.05405405405405406,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
anthropometry_national_zaf,characteristic_label,37,0,0,2,0.05405405405405406,categorical,NA,NA,NA,NA,NA,NA,NA,24,0.6486486486486487,0,0.05405405405405406,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
anthropometry_national_zaf,by_variable_id,37,0,0,1,0.02702702702702703,numeric,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,FALSE,FALSE,FALSE,0,Good Quality
anthropometry_national_zaf,by_variable_label,37,37,1,0,NA,categorical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,1,Moderate Issues
anthropometry_national_zaf,is_total,37,0,0,1,0.02702702702702703,numeric,1,0,0,NA,NA,0,0,NA,NA,NA,NA,1,1,FALSE,FALSE,TRUE,1,Moderate Issues
anthropometry_national_zaf,is_preferred,37,0,0,1,0.02702702702702703,numeric,1,0,0,NA,NA,0,0,NA,NA,NA,NA,1,1,FALSE,FALSE,TRUE,1,Moderate Issues
anthropometry_national_zaf,sdrid,37,0,0,37,1,categorical,NA,NA,NA,NA,NA,NA,NA,1,0.02702702702702703,37,1,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
anthropometry_national_zaf,region_id,37,37,1,0,NA,categorical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,1,Moderate Issues
anthropometry_national_zaf,survey_year_label,37,0,0,1,0.02702702702702703,numeric,2016,0,0,NA,NA,0,0,NA,NA,NA,NA,2016,2016,FALSE,FALSE,TRUE,1,Moderate Issues
anthropometry_national_zaf,survey_type,37,0,0,1,0.02702702702702703,categorical,NA,NA,NA,NA,NA,NA,NA,37,1,0,0.02702702702702703,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
anthropometry_national_zaf,denominator_weighted,37,4,0.10810810810810811,7,0.21212121212121213,numeric,2336.757575757576,747.1612539431762,0.3197427331335159,-0.18068339822128407,1.4326441698839458,0,0,NA,NA,NA,NA,1384,3272,FALSE,FALSE,FALSE,0,Good Quality
anthropometry_national_zaf,denominator_unweighted,37,4,0.10810810810810811,7,0.21212121212121213,numeric,2432.939393939394,765.435086217062,0.3146132978584708,-0.2184855250046466,1.4410047095410938,0,0,NA,NA,NA,NA,1449,3405,FALSE,FALSE,FALSE,0,Good Quality
anthropometry_national_zaf,ci_low,37,37,1,0,NA,categorical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,1,Moderate Issues
anthropometry_national_zaf,ci_high,37,37,1,0,NA,categorical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,1,Moderate Issues
anthropometry_national_zaf,level_rank,37,37,1,0,NA,categorical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,1,Moderate Issues
child-mortality-rates_national_zaf,iso3,40,0,0,1,0.025,categorical,NA,NA,NA,NA,NA,NA,NA,40,1,0,0.025,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
child-mortality-rates_national_zaf,data_id,40,0,0,40,1,numeric,311899.65,312001.2222285848,1.0003256567571808,0.7002980639218077,1.7287590214698747,0,0,NA,NA,NA,NA,26522,802092,FALSE,FALSE,FALSE,0,Good Quality
child-mortality-rates_national_zaf,indicator,40,0,0,15,0.375,categorical,NA,NA,NA,NA,NA,NA,NA,4,0.1,15,0.375,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
child-mortality-rates_national_zaf,value,40,0,0,27,0.675,numeric,466.85,1338.7771027206995,2.8676814881026016,2.8397739265925113,9.413236539489095,5,0.125,NA,NA,NA,NA,7,5183,FALSE,TRUE,FALSE,1,Moderate Issues
child-mortality-rates_national_zaf,precision,40,0,0,1,0.025,numeric,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,FALSE,FALSE,FALSE,0,Good Quality
child-mortality-rates_national_zaf,dhs_country_code,40,0,0,1,0.025,categorical,NA,NA,NA,NA,NA,NA,NA,40,1,0,0.025,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
child-mortality-rates_national_zaf,country_name,40,0,0,1,0.025,categorical,NA,NA,NA,NA,NA,NA,NA,40,1,0,0.025,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
child-mortality-rates_national_zaf,survey_year,40,0,0,2,0.05,numeric,2007,9.114654303753,0.004541432139388639,0,1,0,0,NA,NA,NA,NA,1998,2016,FALSE,FALSE,TRUE,1,Moderate Issues
child-mortality-rates_national_zaf,survey_id,40,0,0,2,0.05,categorical,NA,NA,NA,NA,NA,NA,NA,20,0.5,0,0.05,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
child-mortality-rates_national_zaf,indicator_id,40,0,0,15,0.375,categorical,NA,NA,NA,NA,NA,NA,NA,4,0.1,15,0.375,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
child-mortality-rates_national_zaf,indicator_order,40,0,0,15,0.375,numeric,63203530,25191.57775415406,3.985786514480134e-4,-0.298465630729994,2.0198965625890266,10,0.25,NA,NA,NA,NA,63166010,63236050,FALSE,TRUE,TRUE,2,Significant Issues
child-mortality-rates_national_zaf,indicator_type,40,0,0,3,0.075,categorical,NA,NA,NA,NA,NA,NA,NA,36,0.9,2,0.075,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
child-mortality-rates_national_zaf,characteristic_id,40,0,0,3,0.075,numeric,6250,5424.304280096842,0.8678886848154947,0.11531718339054199,1.1522491349480968,0,0,NA,NA,NA,NA,1000,13000,FALSE,FALSE,FALSE,0,Good Quality
child-mortality-rates_national_zaf,characteristic_order,40,0,0,3,0.075,numeric,22500,33873.82318894484,1.505503252841993,1.104867740459007,2.290721263381293,10,0.25,NA,NA,NA,NA,0,80000,FALSE,TRUE,FALSE,1,Moderate Issues
child-mortality-rates_national_zaf,characteristic_category,40,0,0,3,0.075,categorical,NA,NA,NA,NA,NA,NA,NA,20,0.5,0,0.075,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
child-mortality-rates_national_zaf,characteristic_label,40,0,0,3,0.075,categorical,NA,NA,NA,NA,NA,NA,NA,20,0.5,0,0.075,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
child-mortality-rates_national_zaf,by_variable_id,40,0,0,3,0.075,numeric,7001,7090.188345116847,1.0127393722492282,3.060349994784909e-8,1.0000000408046665,0,0,NA,NA,NA,NA,0,14003,FALSE,FALSE,FALSE,0,Good Quality
child-mortality-rates_national_zaf,by_variable_label,40,20,0.5,2,0.1,categorical,NA,NA,NA,NA,NA,NA,NA,10,0.5,0,0.1,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
child-mortality-rates_national_zaf,is_total,40,0,0,1,0.025,numeric,1,0,0,NA,NA,0,0,NA,NA,NA,NA,1,1,FALSE,FALSE,TRUE,1,Moderate Issues
child-mortality-rates_national_zaf,is_preferred,40,0,0,2,0.05,numeric,0.75,0.4385290096535146,0.5847053462046862,-1.1547005383792515,2.3333333333333335,10,0.25,NA,NA,NA,NA,0,1,FALSE,TRUE,FALSE,1,Moderate Issues
child-mortality-rates_national_zaf,sdrid,40,0,0,15,0.375,categorical,NA,NA,NA,NA,NA,NA,NA,4,0.1,15,0.375,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
child-mortality-rates_national_zaf,region_id,40,40,1,0,NA,categorical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,1,Moderate Issues
child-mortality-rates_national_zaf,survey_year_label,40,0,0,2,0.05,numeric,2007,9.114654303753,0.004541432139388639,0,1,0,0,NA,NA,NA,NA,1998,2016,FALSE,FALSE,TRUE,1,Moderate Issues
child-mortality-rates_national_zaf,survey_type,40,0,0,1,0.025,categorical,NA,NA,NA,NA,NA,NA,NA,40,1,0,0.025,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
child-mortality-rates_national_zaf,denominator_weighted,40,36,0.9,2,0.5,numeric,4348,890.2741150904029,0.2047548562765416,0,1,0,0,NA,NA,NA,NA,3577,5119,TRUE,FALSE,FALSE,1,Moderate Issues
child-mortality-rates_national_zaf,denominator_unweighted,40,36,0.9,2,0.5,numeric,4373,935.3074360871938,0.21388233160009004,0,1,0,0,NA,NA,NA,NA,3563,5183,TRUE,FALSE,FALSE,1,Moderate Issues
child-mortality-rates_national_zaf,ci_low,40,10,0.25,18,0.6,numeric,22.766666666666666,14.36874801575384,0.6311309523757177,0.5686417181848779,2.091137580722858,0,0,NA,NA,NA,NA,4,50,FALSE,FALSE,FALSE,0,Good Quality
child-mortality-rates_national_zaf,ci_high,40,10,0.25,15,0.5,numeric,35.2,17.60368300022509,0.5001046306882128,0.37804434560555406,1.9413043077860164,0,0,NA,NA,NA,NA,10,68,FALSE,FALSE,FALSE,0,Good Quality
child-mortality-rates_national_zaf,level_rank,40,40,1,0,NA,categorical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,1,Moderate Issues
covid-19-prevention_national_zaf,iso3,34,0,0,1,0.029411764705882353,categorical,NA,NA,NA,NA,NA,NA,NA,34,1,0,0.029411764705882353,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
covid-19-prevention_national_zaf,data_id,34,0,0,34,1,numeric,556907.7647058824,235891.843041378,0.4235743474791713,-0.52142048458344,2.3877909273495432,0,0,NA,NA,NA,NA,30013,796694,FALSE,FALSE,FALSE,0,Good Quality
covid-19-prevention_national_zaf,indicator,34,0,0,20,0.5882352941176471,categorical,NA,NA,NA,NA,NA,NA,NA,2,0.058823529411764705,20,0.5882352941176471,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
covid-19-prevention_national_zaf,value,34,0,0,34,1,numeric,36.74411764705882,32.05472773882165,0.8723771256863332,0.5571972086616213,1.925343338160834,0,0,NA,NA,NA,NA,1.5,96,FALSE,FALSE,FALSE,0,Good Quality
covid-19-prevention_national_zaf,precision,34,0,0,2,0.058823529411764705,numeric,0.9705882352941176,0.17149858514250885,0.17669551196500913,-5.570484990582331,32.03030303030303,1,0.029411764705882353,NA,NA,NA,NA,0,1,FALSE,FALSE,FALSE,0,Good Quality
covid-19-prevention_national_zaf,dhs_country_code,34,0,0,1,0.029411764705882353,categorical,NA,NA,NA,NA,NA,NA,NA,34,1,0,0.029411764705882353,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
covid-19-prevention_national_zaf,country_name,34,0,0,1,0.029411764705882353,categorical,NA,NA,NA,NA,NA,NA,NA,34,1,0,0.029411764705882353,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
covid-19-prevention_national_zaf,survey_year,34,0,0,2,0.058823529411764705,numeric,2008.5882352941176,8.99197503184156,0.004476763765633062,-0.3585685828002909,1.1285714285714155,0,0,NA,NA,NA,NA,1998,2016,FALSE,FALSE,TRUE,1,Moderate Issues
covid-19-prevention_national_zaf,survey_id,34,0,0,2,0.058823529411764705,categorical,NA,NA,NA,NA,NA,NA,NA,20,0.5882352941176471,0,0.058823529411764705,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
covid-19-prevention_national_zaf,indicator_id,34,0,0,20,0.5882352941176471,categorical,NA,NA,NA,NA,NA,NA,NA,2,0.058823529411764705,20,0.5882352941176471,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
covid-19-prevention_national_zaf,indicator_order,34,0,0,20,0.5882352941176471,numeric,252040162.05882353,4011155.2503513736,0.015914746354651257,1.6984272729338994,3.888662854450442,6,0.17647058823529413,NA,NA,NA,NA,250162010,260831120,FALSE,TRUE,FALSE,1,Moderate Issues
covid-19-prevention_national_zaf,indicator_type,34,0,0,1,0.029411764705882353,categorical,NA,NA,NA,NA,NA,NA,NA,34,1,0,0.029411764705882353,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
covid-19-prevention_national_zaf,characteristic_id,34,0,0,1,0.029411764705882353,numeric,1000,0,0,NA,NA,0,0,NA,NA,NA,NA,1000,1000,FALSE,FALSE,TRUE,1,Moderate Issues
covid-19-prevention_national_zaf,characteristic_order,34,0,0,1,0.029411764705882353,numeric,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,FALSE,FALSE,FALSE,0,Good Quality
covid-19-prevention_national_zaf,characteristic_category,34,0,0,1,0.029411764705882353,categorical,NA,NA,NA,NA,NA,NA,NA,34,1,0,0.029411764705882353,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
covid-19-prevention_national_zaf,characteristic_label,34,0,0,1,0.029411764705882353,categorical,NA,NA,NA,NA,NA,NA,NA,34,1,0,0.029411764705882353,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
covid-19-prevention_national_zaf,by_variable_id,34,0,0,1,0.029411764705882353,numeric,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,FALSE,FALSE,FALSE,0,Good Quality
covid-19-prevention_national_zaf,by_variable_label,34,34,1,0,NA,categorical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,1,Moderate Issues
covid-19-prevention_national_zaf,is_total,34,0,0,1,0.029411764705882353,numeric,1,0,0,NA,NA,0,0,NA,NA,NA,NA,1,1,FALSE,FALSE,TRUE,1,Moderate Issues
covid-19-prevention_national_zaf,is_preferred,34,0,0,1,0.029411764705882353,numeric,1,0,0,NA,NA,0,0,NA,NA,NA,NA,1,1,FALSE,FALSE,TRUE,1,Moderate Issues
covid-19-prevention_national_zaf,sdrid,34,0,0,20,0.5882352941176471,categorical,NA,NA,NA,NA,NA,NA,NA,2,0.058823529411764705,20,0.5882352941176471,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
covid-19-prevention_national_zaf,region_id,34,34,1,0,NA,categorical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,1,Moderate Issues
covid-19-prevention_national_zaf,survey_year_label,34,0,0,2,0.058823529411764705,numeric,2008.5882352941176,8.99197503184156,0.004476763765633062,-0.3585685828002909,1.1285714285714155,0,0,NA,NA,NA,NA,1998,2016,FALSE,FALSE,TRUE,1,Moderate Issues
covid-19-prevention_national_zaf,survey_type,34,0,0,1,0.029411764705882353,categorical,NA,NA,NA,NA,NA,NA,NA,34,1,0,0.029411764705882353,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
covid-19-prevention_national_zaf,denominator_weighted,34,2,0.058823529411764705,8,0.25,numeric,38815.15625,12658.899980517022,0.32613291310702947,-0.8940063859565491,3.2624215095621034,4,0.125,NA,NA,NA,NA,11066,52007,FALSE,TRUE,FALSE,1,Moderate Issues
covid-19-prevention_national_zaf,denominator_unweighted,34,2,0.058823529411764705,8,0.25,numeric,39352.875,12765.80427889668,0.3243931803939783,-0.9549857374033661,3.36736794842414,4,0.125,NA,NA,NA,NA,11066,52465,FALSE,TRUE,FALSE,1,Moderate Issues
covid-19-prevention_national_zaf,ci_low,34,34,1,0,NA,categorical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,1,Moderate Issues
covid-19-prevention_national_zaf,ci_high,34,34,1,0,NA,categorical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,1,Moderate Issues
covid-19-prevention_national_zaf,level_rank,34,34,1,0,NA,categorical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,1,Moderate Issues
dhs-quickstats_national_zaf,iso3,52,0,0,1,0.019230769230769232,categorical,NA,NA,NA,NA,NA,NA,NA,52,1,0,0.019230769230769232,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
dhs-quickstats_national_zaf,data_id,52,0,0,52,1,numeric,409433.1346153846,308059.92120849073,0.7524059368030329,0.02043689832992861,1.3530748657053624,0,0,NA,NA,NA,NA,744,798705,FALSE,FALSE,FALSE,0,Good Quality
dhs-quickstats_national_zaf,indicator,52,0,0,27,0.5192307692307693,categorical,NA,NA,NA,NA,NA,NA,NA,6,0.11538461538461539,26,0.5192307692307693,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
dhs-quickstats_national_zaf,value,52,0,0,51,0.9807692307692307,numeric,69.59615384615384,94.09709203803847,1.3520444282890303,3.9323344843313475,19.01540706309537,2,0.038461538461538464,NA,NA,NA,NA,0.4,536,FALSE,FALSE,FALSE,0,Good Quality
dhs-quickstats_national_zaf,precision,52,0,0,2,0.038461538461538464,numeric,0.7884615384615384,0.41238371915612493,0.5230232535638658,-1.4126448280440331,2.995565410199556,11,0.21153846153846154,NA,NA,NA,NA,0,1,FALSE,TRUE,FALSE,1,Moderate Issues
dhs-quickstats_national_zaf,dhs_country_code,52,0,0,1,0.019230769230769232,categorical,NA,NA,NA,NA,NA,NA,NA,52,1,0,0.019230769230769232,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
dhs-quickstats_national_zaf,country_name,52,0,0,1,0.019230769230769232,categorical,NA,NA,NA,NA,NA,NA,NA,52,1,0,0.019230769230769232,NA,NA,FALSE,FALSE,FALSE,0,Good Quality
